name,category,subcategory
Khahda,FEMALE NAMES,
Labna,FEMALE NAMES,
Layla,FEMALE NAMES,
Maira,FEMALE NAMES,
Maheera,FEMALE NAMES,
Manhalah,FEMALE NAMES,
Maymuna,FEMALE NAMES,
Maysun,FEMALE NAMES,
Munisa,FEMALE NAMES,
Nafisa,FEMALE NAMES,
Namyla,FEMALE NAMES,
Naweed,FEMALE NAMES,
Qurratul-Ayn,FEMALE NAMES,
Rabia,FEMALE NAMES,
Ran,FEMALE NAMES,
Reeha,FEMALE NAMES,
Ruqayyah,FEMALE NAMES,
Sabiha,FEMALE NAMES,
Sakina,FEMALE NAMES,
Salama,FEMALE NAMES,
Sawda,FEMALE NAMES,
Sharayah,FEMALE NAMES,
Suraya,FEMALE NAMES,
Thana,FEMALE NAMES,
Thabit,FEMALE NAMES,
Tahir,FEMALE NAMES,
Umar,FEMALE NAMES,
Ubayd,FEMALE NAMES,
Uthman,FEMALE NAMES,
Utbah,FEMALE NAMES,
Wadi,FEMALE NAMES,
Walid,FEMALE NAMES,
Wasil,FEMALE NAMES,
Yahya,FEMALE NAMES,
Yazid,FEMALE NAMES,
Zahir,FEMALE NAMES,
Zaynab,FEMALE NAMES,
Zia,FEMALE NAMES,
Urshia,One who belongs in the skies,
Zaynab,Daughter of the Prophet,
Nuriyah,Light,
Zubaydah,Wife of a Caliph,
al-Abarta'i,SURNAMES (nisbas),
al-Kasrawi,SURNAMES 2,
al-Baghdadi,LAQABS,
al-Misri,LAQABS,
al-Najjar,S,
al-Darir,S,
al-Qayrawani,S,
al-Dimashqi,S,
al-Rahib,S,
al-Farabi,S,
al-Rashid,S,
al-Ghanawi,S,
al-Hallaj,S,
al-Saghir,S,
al-Hamdani,S,
al-Shaybani,S,
al-Hashimi,S,
al-Shirazi,S,
al-Hijazi,S,
al-Sufi,S,
al-Hindi,S,
al-Talaqani,S,
al-lfriqi,S,
al-Tayyib,S,
al-islbahani,S,
al-Tuluni,S,
al-Jaludi,S,
al-Wasiti,S,
Al-Rahim,LAQABS,
Al-Quddus,LAQABS,
As-Salam,LAQABS,
Al-Mu'min,LAQABS,
Al-Aziz,LAQABS,
Al-Jabbar,LAQABS,
Al-Khaliq,LAQABS,
Al-Ghaffar,LAQABS,
Ar-Razzaq,LAQABS,
Al-Fattah,LAQABS,
I I) Al-Alim,LAQABS,
Al-Mu'izz,LAQABS,
Al-Latif,LAQABS,
Al-Hafiz,LAQABS,
Al-Mujib,LAQABS,
Al-Wadud,LAQABS,
Al-Majid,LAQABS,
1 8) Al-Ba'ith,LAQABS,
Al-Haqq,LAQABS,
Al-Wakil,LAQABS,
1 ) Al-Matin,LAQABS,
2) Al-Waliyy,LAQABS,
4) Al-Muhyi,LAQABS,
5) Al-Mumit,LAQABS,
6) Al-Hayy,LAQABS,
7) Al-Majid,LAQABS,
8) Al-Wahid,LAQABS,
9) Al-Muqtadir,LAQABS,
10) Al-Muqaddim,LAQABS,
I I) Al-Awwal,LAQABS,
12) Al-Akhir,LAQABS,
13) Az-Zahir,LAQABS,
14) Al-Batin,LAQABS,
15) Al-Barr,LAQABS,
1 6) At-Tawwab,LAQABS,
17) Al-Muntaqim,LAQABS,
18) Al-Jami',LAQABS,
19) An-Nur,LAQABS,
20) Al-Hadi,LAQABS,
Jason Morningstar,Brazilian,
MoyraTurkington,Brazilian,
Rui,MALE,
Carlos,MALE,
Eduardo,MALE,
